question,co
Classify the different types of system calls with suitable examples.,CO1
Summarize the concept of process scheduling and its importance in system performance.,CO1
Apply operating system operations to explain how processes are executed and managed in a system.,CO1
Apply the functions of an operating system to illustrate how it manages hardware and software resources in a computing environment.,CO1
Draw the Gantt chart showing process execution.,CO2
Calculate the waiting time for each process.,CO2
Calculate the turnaround time for each process.,CO2
Compute the average waiting time and average turnaround time.,CO2
Determine the completion time for each process.,CO2
A system administrator changes the scheduling algorithm from FCFS to Round Robin. Analyze the impact of this change on response time and fairness.,CO1
"A real-time system experiences delays due to improper CPU allocation. Analyze the scheduling criteria and determine which factor (waiting time, turnaround time, response time) is most impacted.",CO1
Two processes use semaphores to share a printer. Apply wait() and signal() to ensure no process prints at the same time.,CO2
"Given two programs, one using contiguous allocation and one using paging, compare their memory efficiency and fragmentation issues.",CO4
"In a memory allocation scenario with fragmentation, apply paging to eliminate external fragmentation.",CO4
Apply the concept of demand paging to illustrate how pages are loaded into memory during program execution.,CO2
"In a shared buffer system, implement synchronization using semaphores to avoid data corruption.",CO1
A student creates a multi-threaded chat app. Apply mutex locks to handle simultaneous message writes.,CO3
What is the content of a matrix NEED?,CO1
"Is the system in Safe state? If yes, give the safe state.",CO1
"If a request from a process P1 arrives for (0,4,2,0), can the request be granted immediately?",CO2
Analyze the system by computing the Need matrix.,CO1
Apply a suitable algorithm that determines whether the system is in a safe state.,CO1
"If the system is safe, derive a safe sequence; otherwise, justify why the system is unsafe.",CO1
Analyze the causes and effects of thrashing in modern operating systems.,CO1
"Compare and analyze FCFS, SJF, and Round Robin scheduling algorithms.",CO2
Differentiate between logical memory and physical memory with suitable examples.,CO4
Examine the role of the Translation Lookaside Buffer (TLB) in paging systems.,CO1
Analyze how deadlocks occur in a multitasking environment.,CO3
Compare process synchronization mechanisms such as semaphores and monitors.,CO2
Analyze the working of virtual memory in operating systems.,CO1
Compare contiguous and non-contiguous memory allocation techniques.,CO4
Analyze the advantages and disadvantages of multiprocessor systems.,CO1
Compare demand paging with segmentation memory management.,CO4
Analyze the role of system calls in operating systems.,CO1
Evaluate the effectiveness of Round Robin scheduling for time-sharing systems.,CO1
Justify the use of paging over segmentation in memory management.,CO4
Criticize the limitations of deadlock avoidance algorithms.,CO3
Recommend the best disk scheduling algorithm for SSD-based systems.,CO1
Evaluate the impact of virtual memory on system performance.,CO1
Evaluate different file allocation methods used in operating systems.,CO1
Recommend an appropriate scheduling algorithm for real-time systems.,CO1
Critically evaluate semaphore-based synchronization mechanisms.,CO3
Justify the need for process scheduling in multiprogramming systems.,CO1
Evaluate the performance trade-offs between threads and processes.,CO2
Critically analyze the effectiveness of memory protection mechanisms.,CO3
Recommend suitable memory allocation techniques for embedded systems.,CO1
Evaluate the security challenges in modern operating systems.,CO1
Justify the use of interprocess communication techniques.,CO2
Design a CPU scheduling algorithm for real-time operating systems.,CO1
Develop a deadlock prevention strategy for distributed systems.,CO1
Construct a paging mechanism for virtual memory management.,CO4
Create a synchronization model using semaphores and mutex locks.,CO3
Propose a file allocation method for high-speed storage systems.,CO1
Design an operating system module for process communication.,CO1
Develop an efficient disk scheduling strategy for cloud environments.,CO2
Create a custom memory management scheme for gaming systems.,CO1
Design a multithreaded application to demonstrate process synchronization.,CO2
Develop a process scheduling simulator using any programming language.,CO2
Construct a deadlock detection algorithm for multiprocessor systems.,CO1
Propose an improved virtual memory replacement algorithm.,CO4
Create a lightweight operating system architecture for IoT devices.,CO1
Design a secure file management system for distributed environments.,CO1
Develop a resource allocation framework to avoid starvation.,CO4
Distinguish between Multiprocessor System and Clustered System.,CO1
Define operating Systems.,CO1
Explain the dual-mode operating system with a neat diagram.,CO1
Explain the concept of the virtual machine.,CO2
Explain the layered approach of operating system structure with a supporting diagram.,CO1
What are system calls?,CO1
Briefly point out the types of system calls with illustrations.,CO1
Explain the services of the operating system that are helpful for the user and the system.,CO1
Explain the states of a process with a transition diagram and process control block.,CO2
What is inter-process communication?,CO1
Discuss message passing and the shared memory concept of IPC.,CO2
Calculate average waiting and turnaround times by drawing the Gantt chart using FCFS and RR (q=2ms).,CO2
Explain five different scheduling criteria used in the computing scheduling mechanism.,CO2
Calculate the average waiting time and the average turnaround time by drawing the Gantt chart using SRTF and the Priority scheduling algorithm.,CO2
Define deadlock.,CO3
What are the necessary conditions for deadlock to occur?,CO1
Illustrate Peterson’s solution for the critical section problem.,CO3
What is the content of the need matrix?,CO1
Is the system in a safe state?,CO1
"If a request from process P1 arrives for (0,4,2,0), can the request be granted immediately?",CO2
Explain different methods to recover from deadlocks.,CO3
What is a resource allocation graph?,CO1
Consider an example to explain how a resource allocation graph is useful in describing a deadly embrace.,CO4
What is a semaphore?,CO1
State the Dining Philosopher problem and give a solution using semaphore.,CO3
What is TLB?,CO1
Explain TLB in detail with a paging system with a neat diagram.,CO1
"Determine the number of page faults using the FIFO, Optimal, and LRU replacement algorithms.",CO4
Which page replacement algorithm is most efficient?,CO4
What is demand paging?,CO1
Explain the steps in handling page faults using the appropriate diagram.,CO4
What is segmentation?,CO1
Discuss the structure of the page table with a suitable diagram.,CO1
What is a file?,CO1
What are the attributes of a file?,CO1
Explain file operations.,CO1
Explain in detail about various file operations in a file system.,CO1
Discuss various directory structures with neat diagrams.,CO1
Explain contiguous and linked disk space allocation methods.,CO4
Explain the access matrix method of system protection with the domain as objects and its implementation.,CO1
"What is the total disk travelled by the disk arm using FCFS, SSTF, LOOK and CLOOK algorithm?",CO1
What is a System call?,CO1
Explain in detail the system call sequence to copy the contents of one file to another file.,CO1
Provide a detailed explanation of the hierarchical structure and key components that constitute an operating system.,CO1
"Give an overview of storage structure in computer systems, including the concept of storage hierarchy and the organization of different storage levels to optimize performance, capacity, and access times.",CO1
"Draw a Gantt chart illustrating the execution of jobs using FCFS, SJF, and Priority preemptive algorithm.",CO2
Calculate the average waiting time and average turnaround time.,CO2
Explain the concept of forking to create a separate process.,CO2
Provide an example code demonstrating the use of fork() to create a child process.,CO2
Explain the Banker's Algorithm for deadlock avoidance.,CO3
How does the Banker's Algorithm ensure safe resource allocation?,CO4
Draw a Gantt chart illustrating the execution of jobs using Round Robin with time quantum = 2 unit.,CO2
Distinguish between counting and binary semaphores.,CO3
Suggest a solution to overcome the busy waiting problem.,CO3
What are the four necessary conditions for deadlock occurrence in a system?,CO1
Explain each deadlock condition in detail.,CO3
Describe the concept of resource allocation graphs and how they help in deadlock detection.,CO2
List the steps involved in handling a page fault.,CO4
How many page faults would occur for LRU replacement?,CO4
How many page faults would occur for FIFO replacement?,CO4
How many page faults would occur for Optimal replacement?,CO4
Explain the paging hardware with a suitable diagram.,CO4
What is the effective access time for the memory if one page fault is generated for every 10^6 memory accesses?,CO1
Explain various file access methods with suitable examples.,CO5
How can protection be provided to a file system?,CO1
Provide an overview of mass storage structures in storage management.,CO1
How do mass storage structures differ from primary storage in terms of capacity and access speed?,CO1
Describe any two disk scheduling algorithms with suitable illustrations.,CO2
Give an overview of kernel data structures and their significance in an operating system.,CO1
"Deduce a detailed note on the computing environment, specifically focusing on mobile computing, cloud computing and virtualization, including their features, benefits, and impact on the overall computing landscape.",CO4
"Calculate the average waiting time, average turnaround time and response time using FCFS, SJF and Priority preemptive algorithm.",CO2
Describe the Round Robin scheduling algorithm used in operating systems.,CO1
How does Round Robin ensure fairness among processes?,CO2
What is the role of the time quantum in Round Robin scheduling?,CO1
Provide an example to demonstrate how Round Robin handles process switching and ensures equitable CPU time distribution.,CO2
Discuss the classical synchronization problem known as the Bounded-Buffer Problem and present a solution to it.,CO3
Explain the concepts of counting semaphores used in process synchronization.,CO2
How can counting semaphores be applied to address mutual exclusion and synchronization challenges in concurrent computing?,CO3
Provide examples to illustrate the use of counting semaphores in different scenarios.,CO3
How do Mutex locks work?,CO3
How are Mutex locks used to protect critical sections in multithreaded programs?,CO3
Describe the Peterson’s solution for the critical section problem.,CO3
How does Peterson’s solution ensure mutual exclusion?,CO3
Explain various necessary conditions for a deadlock to occur.,CO3
Explain deadlock prevention.,CO3
What is paging in memory management?,CO1
How does paging work to overcome issues related to contiguous memory allocation?,CO4
Illustrate paging with an example.,CO4
Explain the concept of contiguous memory allocation and its advantages and drawbacks.,CO2
Elaborate on the concept of virtual memory management.,CO2
"Trace FIFO, Optimal, and LRU page replacement algorithms.",CO4
Why is demand paging called lazy swapping?,CO4
Explain demand paging in detail.,CO4
Explain file attributes.,CO5
Provide examples of common file attributes.,CO5
Discuss in detail different file access methods.,CO5
How can access control lists (ACLs) and capabilities be used to implement the access matrix?,CO5
What functions do operating systems perform to manage hardware resources and provide user interfaces?,CO1
Compare and contrast various types of system calls used by operating systems.,CO1
What is a Process?,CO1
Explain the different states of a process with a diagram.,CO2
Analyze how each scheduling criterion influences the selection of processes for execution.,CO2
Discuss the trade-offs involved in prioritizing one scheduling criterion over another in different scheduling algorithms.,CO2
Assess which of the algorithms is better.,CO5
Compare and contrast multilevel queue and multilevel feedback queue scheduling algorithms with appropriate diagrams.,CO2
Describe the role of semaphores in controlling access to shared resources by multiple readers and writers simultaneously.,CO3
Analyze the data structures employed in the Banker's algorithm for resource allocation in operating systems.,CO1
Highlight how the data structures are utilized to prevent deadlock and ensure system stability.,CO1
Describe the resource allocation graph with deadlock.,CO3
Describe the resource allocation graph with a cycle but no deadlock.,CO3
Describe the critical section problem in concurrent programming.,CO3
Outline the requirements that must be satisfied to address the critical section problem effectively.,CO3
Using Banker's algorithm determine whether the system is in a safe state.,CO1
Calculate the Need matrix.,CO5
Critically analyze the impact of deadlock detection and recovery mechanisms on system performance and resource utilization.,CO1
Examine the sequence of steps involved in handling page faults in virtual memory management.,CO4
Analyze how efficient page fault handling strategies contribute to overall memory management effectiveness.,CO4
"Calculate the page faults using FIFO, Optimal and LRU methods using 3 and 4 frames.",CO4
Explain the different file access methods in detail.,CO5
What is the need of page replacement?,CO1
"Find the number of page faults with FIFO, Optimal Page Replacement and LRU with four free frames which are empty initially.",CO4
Which page replacement algorithm gives the minimum number of page faults?,CO4
Explain how ACLs and capabilities enable granular access control and security enforcement within the access matrix framework.,CO5
Evaluate methods for protecting file systems.,CO1
"Compare access control lists, file permissions, and encryption mechanisms for their efficacy in safeguarding data integrity and preventing unauthorized access.",CO5
"Analyze the diverse disk scheduling algorithms used in operating systems, providing examples to illustrate their functioning.",CO1
"What is the total distance travelled by the disk arm to satisfy the requests using FCFS, SSTF, and SCAN algorithms?",CO1
"Analyze the Mass Storage Structure overview, detailing its components and organization, emphasizing their roles in data storage and retrieval.",CO1
Define operating system.,CO1
Explain the dual mode operation of operating system with a neat diagram.,CO1
Explain the concept of virtual machines.,CO2
Explain the responsibilities of OS with respect to process management and file management.,CO2
Explain the set of operating system services.,CO1
Explain different types of system calls.,CO1
What is a process?,CO1
Explain the process state diagram.,CO2
Explain different types of multithreading models with a neat diagram.,CO1
Explain Dining Philosopher's problem using monitors.,CO3
Explain various types of criteria for scheduling.,CO1
Explain three types of thread libraries.,CO1
Draw Gantt charts and calculate average waiting time and average turnaround time for non-preemptive SJF scheduling algorithm.,CO2
Draw Gantt charts and calculate average waiting time and average turnaround time for preemptive SJF scheduling algorithm.,CO2
Explain Peterson's solution with its structure.,CO1
What are deadlocks?,CO1
Explain the necessary conditions for deadlock occurrence.,CO3
What is the content of matrix Need?,CO1
"If a request from process P1 arrives for (1,0,2), can the request be granted immediately?",CO2
Explain the solutions to external fragmentation.,CO3
Explain paging hardware with TLB with a neat diagram.,CO4
What are the methods to recover from deadlock?,CO1
Explain the structure of page table with respect to hierarchical paging.,CO1
What is a page fault?,CO1
Explain the steps involved in handling a page fault with a diagram.,CO4
How many page faults will occur for FIFO page replacement?,CO4
How many page faults will occur for LRU page replacement?,CO4
How many page faults will occur for Optimal page replacement?,CO4
Explain indexed and linked methods of allocating disk space.,CO5
Explain various file allocation methods.,CO4
Explain different file access methods.,CO5
What is disk scheduling?,CO1
Explain FCFS disk scheduling with a diagram.,CO2
Explain SSTF disk scheduling with a diagram.,CO2
Explain SCAN disk scheduling with a diagram.,CO2
Write a short note on Linux file system.,CO1
Write a short note on Linux process management.,CO2
Explain the several aspects of disk management.,CO5
Write a short note on components of Linux system.,CO1
Write a short note on process scheduling in Linux system.,CO1
Distinguish between multiprocessor systems and clustered systems.,CO1
Define Operating Systems.,CO1
Explain dual mode of operating systems with a neat diagram.,CO1
Explain system calls with an example of handling a user application invoking the open() system call.,CO1
Illustrate with a neat diagram the different states of a process and control block.,CO2
Discuss the implementation of IPC using message passing systems in detail.,CO1
List and explain the services provided by OS for the user and efficient operation of system.,CO1
Explain CPU scheduling criteria.,CO2
"Calculate the average waiting time and the average turnaround time by drawing the Gantt chart using FCFS, SRTF, RR (q = 2ms) and priority algorithms.",CO2
What is critical section problem?,CO1
What are the requirements for the solution to critical section problem?,CO1
Explain Peterson's solution.,CO3
How to prevent the occurrence of deadlock?,CO3
Explain deadlock prevention in detail.,CO3
Explain Operating System Structure and components.,CO1
Discuss multiprocessor systems in detail.,CO1
Explain in detail the types of system calls provided by a typical operating system.,CO1
Explain the purpose of system calls and discuss the calls related to device management and communications.,CO1
"Explain the concepts of virtual machines, their implementation and benefits.",CO2
What is a virtual machine?,CO1
List the advantages of virtualization.,CO4
Explain the creation of a virtual machine with architecture diagram.,CO2
Write short notes on operating system services and components.,CO1
Write in detail about real-time systems and multiprocessor systems.,CO1
Explain the various types of system calls with examples.,CO1
Discuss the functionality of system boot with respect to operating systems.,CO1
Discuss the evolution of virtual machines.,CO4
Explain how virtualization can be implemented in operating systems.,CO1
Sketch the structure of Direct Memory Access (DMA).,CO1
Discuss computer system overview with a neat sketch.,CO1
Enumerate and explain different operating system structures.,CO1
"Explain system calls, system programs and OS generation.",CO1
Distinguish between client-server and peer-to-peer models of distributed systems.,CO1
Describe three general methods for passing parameters to the operating system.,CO1
How can a system be designed to allow a choice of operating systems during boot?,CO1
What should a bootstrap program do?,CO1
Describe the differences between symmetric and asymmetric multiprocessing.,CO2
What are the advantages and disadvantages of multiprocessor systems?,CO1
Describe a mechanism for enforcing memory protection.,CO4
What are the advantages and disadvantages of using the same system call interface for manipulating files and devices?,CO1
State and explain the major activities of an operating system with regard to file management.,CO1
Discuss different multiprocessor organizations with block diagrams.,CO2
Explain multiprocessor and multicore organizations.,CO2
Discuss Direct Memory Access (DMA).,CO4
Explain the various structures of an operating system.,CO1
Describe system calls and system programs with neat sketches.,CO1
Explain cache memory and its mapping.,CO4
Describe the evolution of operating systems.,CO1
Describe operating system operations in detail.,CO1
Why can the lack of hardware-supported dual mode cause serious shortcomings in an operating system?,CO1
What problems do caches solve?,CO1
What problems do caches create?,CO1
Discuss the major activities of an operating system with regard to file management.,CO1
"Explain the architecture of simple structure, layered structure, microkernel, modules and hybrid operating systems.",CO1
"Discuss the pros and cons of single processor systems, multicore systems and clustered systems.",CO1
Explain the steps involved in transferring historical information from magnetic tape to CPU through storage devices.,CO5
Explain the importance and need of cache memory with its working principle.,CO4
Discuss various memory hierarchies with a neat block diagram.,CO4
Explain the functionality of system boot with respect to operating systems.,CO1
Explain graceful degradation and fault tolerance in a multiprocessor system.,CO1
Define virtual machine and explain its working with a neat diagram.,CO4
What are the benefits of virtual machines?,CO1
"Define the essential properties of time-sharing, distributed, real-time and multiprogramming operating systems.",CO1
What is the difference between hard real-time and soft real-time systems?,CO1
Explain the different services provided by an operating system.,CO1
What are the major activities of an operating system with regard to process management?,CO1
What are the main purposes of an operating system?,CO1
Explain multiprocessor systems.,CO1
Describe the difference between symmetric and asymmetric multiprocessing.,CO2
Explain the distinguishing features of real-time systems and multiprocessor systems.,CO1
Explain the functions of memory management.,CO4
What is the purpose of system calls?,CO1
Describe the structure of a Process Control Block (PCB).,CO1
Explain the Shortest Job First (SJF) scheduling algorithm.,CO2
Explain the Priority scheduling algorithm.,CO2
"Calculate average waiting time and average turnaround time using FCFS, preemptive SJF and Round Robin scheduling.",CO2
Explain the states of a process with a state diagram.,CO2
Write the structure of a Process Control Block.,CO1
"Draw Gantt charts and calculate waiting time and turnaround time using FCFS, SJF, Priority and Round Robin scheduling.",CO2
Explain the Round Robin scheduling algorithm.,CO2
What are the benefits of multithreaded programming?,CO1
Explain non-preemptive and preemptive scheduling.,CO2
Discuss multilevel queue scheduling.,CO2
Discuss multilevel feedback queue scheduling.,CO2
"Explain FCFS, RR, SJF and Priority scheduling algorithms with suitable examples.",CO2
"Write short notes on real-time scheduling, CPU scheduling, dispatcher and preemptive SJF.",CO2
Explain semaphores.,CO3
State the dining philosopher problem and give its solution using semaphores.,CO3
Describe the bounded buffer problem and provide a semaphore-based solution.,CO3
What is the critical section problem?,CO1
What are the requirements for a critical section solution?,CO1
Give a semaphore-based solution to the readers-writers problem.,CO3
Explain Peterson’s algorithm.,CO3
Determine whether a given resource allocation state is safe.,CO4
Explain deadlock prevention methods in detail.,CO3
Find the Need matrix for a given allocation table.,CO4
Check whether a system is in a safe state using Banker’s algorithm.,CO1
Determine the contents of the Need matrix using Banker’s algorithm.,CO5
Explain deadlock detection and recovery.,CO3
Describe Banker’s algorithm for deadlock avoidance.,CO3
Explain the resource allocation graph.,CO4
State the dining philosopher problem and provide a monitor-based solution.,CO3
Explain shared pages.,CO4
Explain hashed page tables.,CO4
Explain segmentation and compare paging with segmentation.,CO4
Explain best-fit and first-fit memory allocation algorithms.,CO4
What is paging? Explain with a neat diagram.,CO1
Define process scheduling.,CO2
Define virtual memory.,CO4
Define paging.,CO4
Define process control block.,CO2
Define critical section.,CO3
List the states of a process.,CO2
List the services provided by an operating system.,CO1
List the functions of memory management.,CO4
List the characteristics of a deadlock.,CO3
List the types of system calls.,CO1
Identify the components of an operating system.,CO1
Identify the conditions required for deadlock.,CO3
State the purpose of virtual memory.,CO4
State the objectives of process synchronization.,CO2
Evaluate the effectiveness of Round Robin scheduling.,CO2
Evaluate the suitability of paging over segmentation.,CO4
Justify the use of virtual memory in modern systems.,CO1
Assess the performance of FCFS scheduling.,CO2
Assess the advantages of demand paging.,CO4
Evaluate the impact of deadlocks on system performance.,CO1
Justify the need for process synchronization.,CO2
Assess the scalability of distributed operating systems.,CO1
Evaluate various page replacement algorithms.,CO4
Critique the limitations of FCFS scheduling.,CO2
Recommend a suitable scheduling algorithm for real-time systems.,CO1
Assess the effectiveness of semaphores in synchronization.,CO3
Justify the use of mutex locks.,CO3
Evaluate the security advantages of virtualization.,CO4
Assess the benefits of layered operating systems.,CO1
Critique different memory allocation techniques.,CO4
Recommend an efficient file allocation strategy.,CO4
Evaluate the role of TLB in memory management.,CO4
Design a CPU scheduling algorithm for cloud systems.,CO1
Design a deadlock prevention strategy.,CO3
Design a virtual memory management system.,CO1
Design a file allocation method for large-scale storage.,CO4
Create a synchronization solution for producer-consumer problems.,CO3
Develop a process scheduling policy for real-time applications.,CO2
Construct a resource allocation graph for the given scenario.,CO4
Develop a page replacement algorithm.,CO4
Create a memory management scheme for embedded systems.,CO1
Design a distributed operating system architecture.,CO1
Build a synchronization mechanism using semaphores.,CO3
Develop a scheduling algorithm for multiprocessor systems.,CO1
Design a virtual machine environment.,CO4
Construct an efficient storage management framework.,CO5
Propose an operating system solution for IoT devices.,CO1
Create a deadlock detection mechanism.,CO3
Develop a file system structure for high-speed access.,CO1
Build a demand paging strategy.,CO4
Design a secure operating system architecture.,CO1
Analyze the performance of FCFS scheduling.,CO2
Analyze the causes of process starvation.,CO2
Analyze the behavior of demand paging.,CO4
Analyze the causes of deadlock in distributed systems.,CO1
Compare paging and segmentation.,CO4
Compare FCFS and Round Robin scheduling.,CO2
Compare semaphores and mutexes.,CO3
Examine the working of virtual memory.,CO4
Examine the role of page replacement algorithms.,CO4
Analyze process synchronization issues.,CO2
Analyze memory allocation strategies.,CO4
Compare monolithic and layered operating systems.,CO1
Differentiate process and thread concepts.,CO2
Analyze file allocation methods.,CO4
Examine resource allocation techniques.,CO4
Apply Banker's algorithm to determine system safety.,CO1
Apply FCFS scheduling to calculate waiting time.,CO2
Apply Round Robin scheduling to compute turnaround time.,CO2
Implement semaphore operations for synchronization.,CO1
Use paging to translate logical addresses.,CO4
Apply demand paging to memory management.,CO4
Calculate page faults using FIFO replacement.,CO4
Compute average turnaround time for a process set.,CO2
Implement a producer-consumer solution.,CO3
Apply SJF scheduling to the given process set.,CO2
Use semaphores to solve the dining philosophers problem.,CO3
Apply mutex locks to synchronize shared resources.,CO3
Calculate effective memory access time.,CO4
Implement a page replacement algorithm.,CO4
Apply segmentation to memory allocation.,CO4
Compute CPU utilization for a scheduling scenario.,CO2
Use Banker's algorithm to avoid deadlock.,CO3
Apply multithreading concepts to a server application.,CO2
Implement process synchronization using monitors.,CO2
Apply resource allocation techniques to prevent deadlock.,CO3
Define an operating system and list its major functions.,CO1
List the different types of operating systems with examples.,CO1
State the functions of an operating system kernel.,CO1
Name the categories of system calls provided by OS.,CO1
What is a virtual machine in operating system context?,CO1
Identify the components of a computer system architecture.,CO1
Mention the services provided by the operating system.,CO1
Write the definition of microkernel architecture in OS.,CO1
List the key features of monolithic kernel design.,CO1
State the purpose of dual mode operation in operating system.,CO1
Name the layers in a layered operating system architecture.,CO1
List the system call types in the POSIX interface.,CO1
Define kernel mode and user mode in operating system.,CO1
What is the bootstrap process in an operating system?,CO1
State the difference between multiprogramming and multitasking OS.,CO1
Explain the layered approach to operating system design.,CO1
Describe the monolithic kernel architecture and its components.,CO1
Discuss the microkernel design advantages over monolithic OS kernel.,CO1
Explain the concept of system calls with POSIX examples.,CO1
Describe the dual mode operation in operating systems.,CO1
Discuss the virtual machine concept in operating systems.,CO1
Explain the difference between kernel space and user space in OS.,CO1
Summarize the evolution from batch to time-sharing operating systems.,CO1
Explain the role of system calls in OS services.,CO1
Describe how the operating system kernel manages hardware resources.,CO1
Discuss the hybrid kernel approach used in modern operating systems.,CO1
Explain the concept of virtual machine monitor in operating systems.,CO1
Describe the structure of a real-time operating system kernel.,CO1
Discuss the modular approach to operating system design.,CO1
Explain system programs and their relationship with OS kernel.,CO1
Apply system calls to create and manage files in Linux kernel.,CO1
Demonstrate use of fork system call for process creation in OS.,CO1
Show how user programs access kernel services via system calls.,CO1
Use system calls to demonstrate file read and write in Unix OS.,CO1
Apply OS architecture concepts to trace a system call execution path.,CO1
Demonstrate kernel privilege level switching via system call trap.,CO1
Show the sequence of kernel operations during a system call in OS.,CO1
Apply dual mode concept to demonstrate OS protection mechanism.,CO1
Implement a simple shell program using system calls in Linux.,CO1
Demonstrate exec system call to load a program in Unix OS.,CO1
Analyze the advantages of microkernel over monolithic OS architecture.,CO1
Compare the performance of layered versus monolithic OS designs.,CO1
Differentiate between user mode and kernel mode execution in OS.,CO1
Examine structural differences between Windows and Linux kernel.,CO1
Analyze the role of system calls in operating system security.,CO1
Compare batch processing and time-sharing operating systems.,CO1
Differentiate between multiprogramming and multiprocessing OS.,CO1
Examine how virtualization impacts the operating system design.,CO1
Compare exokernel and microkernel OS architectures.,CO1
Analyze the trade-offs in layered versus modular OS kernel design.,CO1
Differentiate between monolithic and modular kernel OS designs.,CO1
Examine system call overhead impact on OS performance.,CO1
Analyze the design trade-offs in real-time versus general purpose OS.,CO1
Compare the virtual machine monitor types in operating systems.,CO1
Evaluate design trade-offs in monolithic kernel architecture.,CO1
Assess suitability of microkernel for embedded real-time systems.,CO1
Justify use of virtual machines in cloud computing environments.,CO1
Critique limitations of monolithic OS for modern multi-core hardware.,CO1
Evaluate security implications of kernel design choices in OS.,CO1
Recommend the most appropriate OS architecture for IoT devices.,CO1
Assess the impact of system call overhead on overall OS performance.,CO1
Justify why modern operating systems use hybrid kernel designs.,CO1
Critique the layered OS approach for high performance computing.,CO1
Evaluate effectiveness of virtual machine monitors in OS design.,CO1
Design an OS architecture for an embedded real-time control system.,CO1
Develop a kernel structure for a secure operating system.,CO1
Construct a layered OS design for a cloud computing platform.,CO1
Propose an OS architecture that balances security and performance.,CO1
Create a system call interface specification for a custom OS kernel.,CO1
Design a virtual machine monitor for server consolidation.,CO1
Develop a microkernel-based OS design for safety-critical systems.,CO1
Formulate an OS structure for distributed computing environment.,CO1
Define a process and list its different execution states.,CO2
List CPU scheduling algorithms used in operating systems.,CO2
State the purpose of a Process Control Block PCB.,CO2
Name the fields stored in a Process Control Block.,CO2
What is context switching in process management?,CO2
Define a thread and list the differences between process and thread.,CO2
Identify the necessary conditions for the critical section problem.,CO2
List Inter Process Communication IPC mechanisms in OS.,CO2
State the difference between preemptive and non-preemptive scheduling.,CO2
Define semaphore and list its types in process synchronization.,CO2
What is a monitor? List its components for process synchronization.,CO2
List the states in the five-state process model.,CO2
Define race condition in process synchronization.,CO2
State the purpose of mutex in process synchronization.,CO2
Define priority inversion in CPU scheduling.,CO2
Explain Round Robin CPU scheduling algorithm with example.,CO2
Describe working of First Come First Served FCFS CPU scheduling.,CO2
Discuss concept of Shortest Job First SJF CPU scheduling.,CO2
Explain producer consumer problem using semaphore in OS.,CO2
Describe how semaphore solves the critical section problem.,CO2
Explain multithreading concept and its advantages in process management.,CO2
Discuss dining philosophers problem and process synchronization.,CO2
Describe process creation and termination in UNIX OS.,CO2
Explain priority CPU scheduling with preemption and aging technique.,CO2
Describe monitor mechanism for process synchronization.,CO2
Discuss readers writers problem and semaphore solution.,CO2
Explain multilevel feedback queue CPU scheduling algorithm.,CO2
