question,CO,PO,BTL
Discuss the no preemption condition in deadlock formation.,CO5,PO1,L2
Apply Banker algorithm to determine if system is in a safe state.,CO5,PO2,L3
Solve deadlock detection problem using resource allocation graph.,CO5,PO2,L3
Demonstrate deadlock prevention using resource ordering technique.,CO5,PO2,L3
Apply safety algorithm to find all safe sequences for given allocation.,CO5,PO2,L3
Compute whether resource request can be granted using Banker algorithm.,CO5,PO2,L3
Use Banker algorithm to check if new resource request leads to safe state.,CO5,PO2,L3
Apply deadlock detection algorithm to identify deadlocked processes.,CO5,PO2,L3
Simulate deadlock recovery by selecting victim process for termination.,CO5,PO2,L3
Apply resource allocation graph algorithm to detect deadlock.,CO5,PO2,L3
Use safety algorithm to verify safe sequence after resource allocation.,CO5,PO2,L3
Apply Banker algorithm to compute maximum need matrix.,CO5,PO2,L3
Simulate deadlock prevention using resource ordering scheme.,CO5,PO2,L3
Analyze conditions under which circular wait occurs in resource allocation.,CO5,PO4,L4
Compare deadlock prevention and deadlock avoidance strategies.,CO5,PO4,L4
Differentiate between deadlock detection and deadlock prevention.,CO5,PO4,L4
Examine trade-off between resource utilization and deadlock safety.,CO5,PO4,L4
Analyze resource allocation graph to identify deadlock in scenario.,CO5,PO4,L4
Examine performance overhead of deadlock detection algorithm.,CO5,PO4,L4
Differentiate between deadlock and livelock in operating systems.,CO5,PO4,L4
Analyze deadlock conditions in a multithreaded Java application.,CO5,PO4,L4
Compare single-instance and multi-instance resource deadlock detection.,CO5,PO4,L4
Analyze how hold-and-wait contributes to deadlock formation.,CO5,PO4,L4
Differentiate safe state and unsafe state in deadlock avoidance.,CO5,PO4,L4
Compare Banker algorithm with resource allocation graph deadlock method.,CO5,PO4,L4
Analyze deadlock in dining philosophers synchronization problem.,CO5,PO4,L4
Differentiate deadlock prevention by preemption and by resource ordering.,CO5,PO4,L4
Examine deadlock conditions in multi-resource OS environment.,CO5,PO4,L4
Analyze circular wait prevention impact on system throughput.,CO5,PO4,L4
Compare deadlock avoidance and deadlock recovery efficiency.,CO5,PO4,L4
Differentiate Banker algorithm and wait-for graph deadlock methods.,CO5,PO4,L4
Examine deadlock handling trade-offs in real-time operating systems.,CO5,PO4,L4
Analyze resource utilization implications of deadlock avoidance.,CO5,PO4,L4
Compare deadlock detection frequency and its performance impact.,CO5,PO4,L4
Differentiate between resource preemption and process kill in deadlock.,CO5,PO4,L4
Examine deadlock in distributed operating systems.,CO5,PO4,L4
Analyze the no preemption condition impact on deadlock formation.,CO5,PO4,L4
Evaluate Banker algorithm practicality and overhead.,CO5,PO4,L5
Assess effectiveness of different deadlock handling strategies.,CO5,PO4,L5
Critique assumptions made in Banker algorithm for deadlock avoidance.,CO5,PO4,L5
Justify why deadlock avoidance is preferred over prevention in databases.,CO5,PO4,L5
Justify when deadlock detection with recovery is better than avoidance.,CO5,PO4,L5
Recommend a deadlock handling strategy for airline reservation system.,CO5,PO4,L5
Assess impact of deadlock on overall system availability.,CO5,PO4,L5
Evaluate cost of implementing Banker algorithm in a production OS.,CO5,PO4,L5
Critique limitations of resource allocation graph for multi-instance.,CO5,PO4,L5
Evaluate deadlock handling techniques in distributed operating systems.,CO5,PO4,L5
Assess suitability of preemption-based deadlock recovery.,CO5,PO4,L5
Justify use of timeout for deadlock resolution in DBMS.,CO5,PO4,L5
Evaluate overhead of maintaining allocation state for Banker algorithm.,CO5,PO4,L5
Critique static resource count assumption in Banker algorithm.,CO5,PO4,L5
Assess deadlock avoidance techniques for real-time OS requirements.,CO5,PO4,L5
Justify why mutual exclusion cannot be eliminated in most systems.,CO5,PO4,L5
Evaluate effectiveness of circular wait prevention by resource ordering.,CO5,PO4,L5
Recommend best deadlock handling strategy for operating system kernel.,CO5,PO4,L5
Assess impact of deadlock recovery by process termination on system.,CO5,PO4,L5
Critique the ostrich algorithm for handling deadlock in practice.,CO5,PO4,L5
Design a deadlock-free resource allocation system for an OS.,CO5,PO3,L6
Develop a deadlock detection and recovery mechanism for a database.,CO5,PO3,L6
Construct a distributed deadlock detection algorithm for cloud platform.,CO5,PO3,L6
Propose a resource allocation protocol that guarantees deadlock freedom.,CO5,PO3,L6
Create a resource management system implementing Banker deadlock avoidance.,CO5,PO3,L6
Design a deadlock prevention framework for a multi-threaded application.,CO5,PO3,L6
Develop a deadlock-free IPC mechanism for distributed OS.,CO5,PO3,L6
Formulate a safe resource allocation graph manager for OS.,CO5,PO3,L6
Define disk scheduling and list the disk scheduling algorithms.,CO6,PO1,L1
State the working principle of Direct Memory Access DMA.,CO6,PO1,L1
List the components of the I/O subsystem in operating systems.,CO6,PO1,L1
Name the types of RAID levels used in storage systems.,CO6,PO1,L1
Define spooling and state its purpose in I/O management.,CO6,PO1,L1
What is buffering in I/O management? List the types.,CO6,PO1,L1
List the steps involved in hardware interrupt handling.,CO6,PO1,L1
State the role of device driver in operating system I/O.,CO6,PO1,L1
Define seek time and rotational latency in disk scheduling.,CO6,PO1,L1
List the types of disk scheduling algorithms used in OS.,CO6,PO1,L1
Explain the SSTF disk scheduling algorithm with an example.,CO6,PO1,L2
Describe the SCAN and C-SCAN disk scheduling algorithms.,CO6,PO1,L2
Explain the concept of DMA and its advantage over programmed I/O.,CO6,PO1,L2
Discuss working of LOOK and C-LOOK disk scheduling algorithms.,CO6,PO1,L2
Describe the structure of RAID and explain RAID 5 configuration.,CO6,PO1,L2
Explain the interrupt-driven I/O mechanism in operating systems.,CO6,PO1,L2
Discuss the role of spooling in printer I/O management.,CO6,PO1,L2
Describe the kernel I/O subsystem and its functions.,CO6,PO1,L2
Explain the FCFS disk scheduling algorithm with example.,CO6,PO1,L2
Discuss the disk structure including cylinders tracks and sectors.,CO6,PO1,L2
Explain the difference between polling and interrupt-driven I/O.,CO6,PO1,L2
Describe RAID 1 and RAID 0 storage configurations.,CO6,PO1,L2
Explain the concept of rotational latency in disk I/O.,CO6,PO1,L2
Describe the working of DMA for data transfer in OS.,CO6,PO1,L2
Discuss the structure of interrupt handler in operating system.,CO6,PO1,L2
Calculate total disk arm movement for FCFS SSTF SCAN given request queue.,CO6,PO2,L3
Apply C-SCAN disk scheduling to given request queue and compute seek time.,CO6,PO2,L3
Demonstrate LOOK disk scheduling algorithm on given request sequence.,CO6,PO2,L3
Compute disk seek time using SSTF disk scheduling algorithm.,CO6,PO2,L3
Apply SCAN disk scheduling algorithm to optimize disk arm movement.,CO6,PO2,L3
Use LOOK disk scheduling to compute total head movement.,CO6,PO2,L3
Calculate disk access time using C-SCAN algorithm for request queue.,CO6,PO2,L3
Apply SSTF disk scheduling algorithm to minimize total seek time.,CO6,PO2,L3
Compute total seek time using FCFS disk scheduling algorithm.,CO6,PO2,L3
Apply C-LOOK disk scheduling and find total disk head movement.,CO6,PO2,L3
Calculate total head movement using SCAN disk scheduling.,CO6,PO2,L3
Apply LOOK disk scheduling algorithm for given disk request queue.,CO6,PO2,L3
Compute average seek time for SSTF disk scheduling algorithm.,CO6,PO2,L3
Analyze performance of FCFS versus SCAN disk scheduling algorithms.,CO6,PO5,L4
Compare RAID 1 RAID 5 and RAID 6 in terms of performance and fault tolerance.,CO6,PO5,L4
Differentiate between polling and interrupt-driven I/O mechanisms.,CO6,PO5,L4
Examine starvation problem in SSTF disk scheduling algorithm.,CO6,PO5,L4
Analyze trade-offs between different RAID storage configurations.,CO6,PO5,L4
Compare I/O performance of polling and DMA based data transfer.,CO6,PO5,L4
Examine fault tolerance mechanisms in RAID 5 configuration.,CO6,PO5,L4
Compare hardware RAID versus software RAID implementations.,CO6,PO5,L4
Analyze I/O bottleneck in database servers using disk scheduling.,CO6,PO5,L4
Differentiate between SCAN and LOOK disk scheduling algorithms.,CO6,PO5,L4
Examine write performance impact across different RAID levels.,CO6,PO5,L4
Compare FCFS and SSTF disk scheduling in terms of throughput.,CO6,PO5,L4
Analyze DMA controller effectiveness in reducing CPU overhead for I/O.,CO6,PO5,L4
Differentiate C-SCAN and C-LOOK disk scheduling algorithms.,CO6,PO5,L4
Examine seek time impact on overall disk I/O performance.,CO6,PO5,L4
Compare reliability of RAID 0 and RAID 1 storage configurations.,CO6,PO5,L4
Analyze performance implications of interrupt-driven versus DMA I/O.,CO6,PO5,L4
Differentiate between buffering and caching in I/O management.,CO6,PO5,L4
Examine disk scheduling trade-offs for real-time OS workloads.,CO6,PO5,L4
Analyze advantages of LOOK over SCAN in disk scheduling.,CO6,PO5,L4
Compare spooling and buffering techniques in I/O management.,CO6,PO5,L4
Examine RAID 10 versus RAID 5 for database server workloads.,CO6,PO5,L4
Differentiate between disk scheduling strategies for HDD and SSD.,CO6,PO5,L4
Analyze the convoy effect in FCFS disk scheduling algorithm.,CO6,PO5,L4
Evaluate suitability of disk scheduling algorithms for SSD drives.,CO6,PO5,L5
Assess performance of RAID 5 versus RAID 10 for a web server.,CO6,PO5,L5
Justify why DMA is more efficient than programmed I/O for large transfers.,CO6,PO5,L5
Recommend optimal disk scheduling algorithm for SSD storage devices.,CO6,PO5,L5
Evaluate role of DMA controller in reducing CPU processing overhead.,CO6,PO5,L5
Assess trade-off between RAID 5 and RAID 10 for hospital database.,CO6,PO5,L5
Justify choice of SCAN over FCFS for high-throughput disk server.,CO6,PO5,L5
Evaluate effectiveness of RAID 6 for fault-tolerant storage systems.,CO6,PO5,L5
Critique use of SSTF disk scheduling for interactive I/O systems.,CO6,PO5,L5
Recommend RAID configuration for high-availability cloud storage.,CO6,PO5,L5
Assess I/O performance bottleneck in a multimedia streaming server.,CO6,PO5,L5
Evaluate interrupt-driven I/O versus DMA for embedded system OS.,CO6,PO5,L5
Justify use of C-SCAN over SCAN for uniform disk wear distribution.,CO6,PO5,L5
Critique SSTF disk scheduling effectiveness for preventing starvation.,CO6,PO5,L5
Recommend a disk scheduling policy for a database transaction system.,CO6,PO5,L5
Evaluate performance of spooling for high-volume print environments.,CO6,PO5,L5
Assess suitability of RAID 1 versus RAID 5 for small database servers.,CO6,PO5,L5
Justify when DMA is preferred over interrupt-driven I/O in OS design.,CO6,PO5,L5
Evaluate impact of disk scheduling on database query response time.,CO6,PO5,L5
Critique FCFS disk scheduling for workloads with mixed request sizes.,CO6,PO5,L5
Design an I/O scheduling system for a high-performance database server.,CO6,PO3,L6
Develop a RAID configuration plan for a fault-tolerant storage system.,CO6,PO3,L6
Propose an optimized disk scheduling policy for a multimedia server.,CO6,PO3,L6
Create a disk scheduling simulator for comparing multiple algorithms.,CO6,PO3,L6
Develop an interrupt service routine for a high-speed network interface.,CO6,PO3,L6
Design a unified I/O framework for heterogeneous storage devices.,CO6,PO3,L6
Construct a smart buffer management system for I/O optimization.,CO6,PO3,L6
Formulate a RAID management system for an enterprise data center.,CO6,PO3,L6
Analyze the circular wait condition and its role in deadlock.,CO5,PO4,L4
Compare the deadlock prevention strategies for different OS types.,CO5,PO4,L4
Differentiate between deadlock in single-instance and multi-instance resources.,CO5,PO4,L4
Examine the Banker algorithm steps for deadlock avoidance.,CO5,PO4,L4
Analyze the resource allocation graph for detecting deadlock cycles.,CO5,PO4,L4
Compare wait-for graph and resource allocation graph for deadlock.,CO5,PO4,L4
Differentiate between deadlock avoidance and deadlock recovery methods.,CO5,PO4,L4
Examine how the no preemption condition contributes to deadlock.,CO5,PO4,L4
Analyze the safe state concept in the Banker algorithm.,CO5,PO4,L4
Compare deadlock in dining philosophers and real OS scenarios.,CO5,PO4,L4
Differentiate between starvation and deadlock in resource allocation.,CO5,PO4,L4
Examine the deadlock handling overhead in operating systems.,CO5,PO4,L4
Analyze the trade-offs between deadlock prevention and system performance.,CO5,PO4,L4
Compare the effectiveness of Banker algorithm versus resource allocation graph.,CO5,PO4,L4
Examine the role of mutual exclusion in deadlock formation.,CO5,PO4,L4
Analyze the Banker algorithm need matrix for resource requests.,CO5,PO4,L4
Compare the time complexity of different deadlock detection algorithms.,CO5,PO4,L4
Differentiate between hold-and-wait and no preemption deadlock conditions.,CO5,PO4,L4
Examine how circular wait can be prevented using resource ordering.,CO5,PO4,L4
Analyze the impact of deadlock on system throughput and performance.,CO5,PO4,L4
Compare Banker algorithm and ostrich algorithm for deadlock handling.,CO5,PO4,L4
Differentiate between global and local deadlock in distributed OS.,CO5,PO4,L4
Examine deadlock in multi-threaded database transaction management.,CO5,PO4,L4
Analyze the resource utilization trade-off in Banker algorithm.,CO5,PO4,L4
Compare the four necessary deadlock conditions and their prevention.,CO5,PO4,L4
Differentiate between preemptive and non-preemptive deadlock recovery.,CO5,PO4,L4
Examine the deadlock conditions for reader-writer lock scenarios.,CO5,PO4,L4
Analyze the probability of deadlock in high-load OS environments.,CO5,PO4,L4
Compare deadlock in distributed systems versus single-machine OS.,CO5,PO4,L4
Differentiate between conservative and optimistic deadlock avoidance.,CO5,PO4,L4
Evaluate the practicality of Banker algorithm in modern operating systems.,CO5,PO4,L5
Assess the deadlock avoidance overhead versus system performance gain.,CO5,PO4,L5
Justify the selection of deadlock detection over prevention in databases.,CO5,PO4,L5
Critique the assumptions of Banker algorithm for deadlock avoidance.,CO5,PO4,L5
Recommend the best deadlock handling strategy for a web server OS.,CO5,PO4,L5
Evaluate the effectiveness of circular wait prevention in resource management.,CO5,PO4,L5
Assess the impact of frequent deadlock detection on system throughput.,CO5,PO4,L5
Justify the use of resource ordering to eliminate deadlock conditions.,CO5,PO4,L5
Critique the limitations of static allocation in Banker algorithm.,CO5,PO4,L5
Evaluate the trade-offs between deadlock prevention and CPU utilization.,CO5,PO4,L5
Assess the suitability of Banker algorithm for real-time systems.,CO5,PO4,L5
Justify the preference for deadlock avoidance in transaction processing.,CO5,PO4,L5
Critique the performance cost of maintaining Banker algorithm state.,CO5,PO4,L5
Evaluate deadlock recovery by process termination versus preemption.,CO5,PO4,L5
Assess the effectiveness of timeout-based deadlock resolution.,CO5,PO4,L5
Justify the use of wait-for graph for deadlock detection in DBMS.,CO5,PO4,L5
Critique the hold-and-wait prevention strategy for OS design.,CO5,PO4,L5
Evaluate the scalability of Banker algorithm for large-scale systems.,CO5,PO4,L5
Assess the deadlock probability in multi-process OS environments.,CO5,PO4,L5
Justify why deadlock ignorance is acceptable in general-purpose OS.,CO5,PO4,L5
Critique the mutual exclusion condition and possible alternatives.,CO5,PO4,L5
Evaluate the performance of deadlock avoidance in distributed systems.,CO5,PO4,L5
Assess the cost-benefit of implementing deadlock prevention in OS.,CO5,PO4,L5
Justify the resource preemption strategy for deadlock recovery.,CO5,PO4,L5
Critique the no preemption condition elimination approach in OS.,CO5,PO4,L5
Evaluate the effectiveness of two-phase locking for deadlock avoidance.,CO5,PO4,L5
Assess the deadlock handling requirements for safety-critical OS.,CO5,PO4,L5
Justify the selection of deadlock detection for cloud computing OS.,CO5,PO4,L5
Critique the circular wait prevention using resource ordering.,CO5,PO4,L5
Evaluate the impact of deadlock prevention on OS system call performance.,CO5,PO4,L5
Analyze the performance comparison of SSTF versus C-SCAN disk scheduling.,CO6,PO5,L4
Compare the seek time of FCFS and SCAN disk scheduling algorithms.,CO6,PO5,L4
Differentiate between the elevator algorithm and LOOK disk scheduling.,CO6,PO5,L4
Examine the starvation issue in SSTF disk scheduling algorithm.,CO6,PO5,L4
Analyze the RAID 5 performance for read and write I/O operations.,CO6,PO5,L4
Compare the fault tolerance of RAID 6 versus RAID 5 configurations.,CO6,PO5,L4
Differentiate between software RAID and hardware RAID I/O performance.,CO6,PO5,L4
Examine the DMA transfer efficiency versus interrupt-driven I/O.,CO6,PO5,L4
Analyze the disk arm movement in C-LOOK versus C-SCAN scheduling.,CO6,PO5,L4
Compare RAID 1 and RAID 10 configurations for database servers.,CO6,PO5,L4
Differentiate between buffering and caching in I/O performance.,CO6,PO5,L4
Examine the rotational latency impact on disk scheduling efficiency.,CO6,PO5,L4
Analyze the I/O throughput of different disk scheduling policies.,CO6,PO5,L4
Compare polling and DMA for I/O performance in embedded systems.,CO6,PO5,L4
Examine the RAID write penalty in RAID 5 storage systems.,CO6,PO5,L4
Analyze the disk scheduling fairness in SCAN algorithm.,CO6,PO5,L4
Compare the LOOK and C-LOOK disk scheduling performance.,CO6,PO5,L4
Differentiate between disk scheduling strategies for HDD and SSD.,CO6,PO5,L4
Examine the I/O performance bottleneck in file server systems.,CO6,PO5,L4
Analyze the seek time optimization in SSTF disk scheduling.,CO6,PO5,L4
Compare head movement in SCAN versus LOOK disk scheduling.,CO6,PO5,L4
Differentiate between RAID 0 and RAID 5 performance characteristics.,CO6,PO5,L4
Examine the DMA controller role in reducing CPU I/O overhead.,CO6,PO5,L4
Analyze the disk scheduling impact on database query performance.,CO6,PO5,L4
Compare interrupt-driven I/O and programmed I/O performance.,CO6,PO5,L4
Differentiate between spooling and buffering in I/O management.,CO6,PO5,L4
Examine the RAID 6 double parity advantage over RAID 5.,CO6,PO5,L4
Analyze the seek time difference in FCFS versus SSTF disk scheduling.,CO6,PO5,L4
Compare the I/O performance of LOOK and C-SCAN disk algorithms.,CO6,PO5,L4
Differentiate between synchronous and asynchronous disk I/O operations.,CO6,PO5,L4
Evaluate the disk scheduling algorithm selection for multimedia servers.,CO6,PO5,L5
Assess the RAID 5 versus RAID 10 performance for transaction systems.,CO6,PO5,L5
Justify the use of DMA for high-speed network data transfers.,CO6,PO5,L5
Critique the SSTF disk scheduling fairness for interactive systems.,CO6,PO5,L5
Recommend the optimal RAID level for a high-availability storage.,CO6,PO5,L5
Evaluate the C-SCAN disk scheduling for disk arm wear reduction.,CO6,PO5,L5
Assess the performance of interrupt-driven versus DMA I/O systems.,CO6,PO5,L5
Justify the LOOK algorithm selection over SCAN for disk servers.,CO6,PO5,L5
Critique the FCFS disk scheduling for mixed I/O workloads.,CO6,PO5,L5
Evaluate the RAID 6 overhead versus fault tolerance benefits.,CO6,PO5,L5
Assess the DMA controller efficiency for large file I/O transfers.,CO6,PO5,L5
Justify the spooling implementation for printer queue management.,CO6,PO5,L5
Critique the RAID 0 usage for critical data storage systems.,CO6,PO5,L5
Evaluate the C-LOOK disk scheduling for database I/O workloads.,CO6,PO5,L5
Assess the disk scheduling trade-offs for SSD versus HDD storage.,CO6,PO5,L5
Justify the hardware RAID preference over software RAID.,CO6,PO5,L5
Evaluate the buffering strategies for I/O performance optimization.,CO6,PO5,L5
Assess the SSTF suitability for real-time I/O applications.,CO6,PO5,L5
Justify the RAID 10 selection for online transaction processing.,CO6,PO5,L5
Critique the FCFS disk scheduling for enterprise storage systems.,CO6,PO5,L5
Evaluate the DMA efficiency for bulk data transfer operations.,CO6,PO5,L5
Assess the disk I/O performance impact on database response time.,CO6,PO5,L5
Justify the C-SCAN algorithm for uniform disk wear distribution.,CO6,PO5,L5
Critique the interrupt-driven I/O overhead for high-frequency operations.,CO6,PO5,L5
Evaluate the RAID configuration for a cloud object storage system.,CO6,PO5,L5
Assess the disk scheduling policy impact on OS I/O throughput.,CO6,PO5,L5
Justify the LOOK disk scheduling selection for web server storage.,CO6,PO5,L5
Critique the RAID 5 write penalty for write-intensive workloads.,CO6,PO5,L5
Evaluate the performance of spooling for batch job I/O processing.,CO6,PO5,L5
Recommend an I/O scheduling policy for a high-performance computing OS.,CO6,PO5,L5
Formulate an OS architecture for autonomous vehicle control system.,CO1,PO3,L6
Construct a security-focused OS kernel design for cloud platforms.,CO1,PO3,L6
Create a virtual machine design for multi-tenant cloud computing.,CO1,PO3,L6
Develop an OS framework for large-scale IoT device management.,CO1,PO3,L6
Construct a process synchronization framework for distributed systems.,CO2,PO3,L6
Formulate a real-time CPU scheduling policy for autonomous systems.,CO2,PO3,L6
Create a thread management system for cloud microservices.,CO2,PO3,L6
Propose a CPU scheduling framework for heterogeneous computing.,CO2,PO3,L6
Construct a memory management framework for serverless computing.,CO3,PO3,L6
Formulate a page replacement strategy for NVM storage systems.,CO3,PO3,L6
Create a virtual memory architecture design for mobile OS.,CO3,PO3,L6
Propose a memory compression scheme for embedded real-time systems.,CO3,PO3,L6
Construct a file system design for distributed cloud storage.,CO4,PO3,L6
Formulate a file recovery strategy for journaling file systems.,CO4,PO3,L6
Create a file access control model for enterprise OS systems.,CO4,PO3,L6
Propose a versioned file system for collaborative editing platforms.,CO4,PO3,L6
Construct a deadlock avoidance protocol for distributed transactions.,CO5,PO3,L6
Formulate a resource allocation framework for deadlock-free cloud OS.,CO5,PO3,L6
Create a deadlock detection system for microservice OS architectures.,CO5,PO3,L6
Propose a deadlock prevention strategy for database transaction systems.,CO5,PO3,L6
Construct an adaptive disk scheduling algorithm for mixed I/O workloads.,CO6,PO3,L6
Formulate an I/O optimization framework for cloud storage systems.,CO6,PO3,L6
Create a RAID management system for enterprise data center storage.,CO6,PO3,L6
Propose an intelligent I/O scheduler for NVM storage devices.,CO6,PO3,L6
